ARO Term,Drug Class
YajC,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
mef(H),macrolide antibiotic
tet(W/32/O),tetracycline antibiotic
erm(56),macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic
ErmQ,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
APH(3')-Ia,aminoglycoside antibiotic
OpmD,fluoroquinolone antibiotic; disinfecting agents and antiseptics
mfpA,fluoroquinolone antibiotic
acrB,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
EreD,macrolide antibiotic
tet(32),tetracycline antibiotic
AAC(6')-Ip,aminoglycoside antibiotic
aadA6,aminoglycoside antibiotic
Bacillus pumilus cat86,phenicol antibiotic
LnuP,lincosamide antibiotic
efpA,rifamycin antibiotic; isoniazid-like antibiotic
Mef(En2),macrolide antibiotic; lincosamide antibiotic
mgtA,macrolide antibiotic
cmlA9,phenicol antibiotic
PDC-450,monobactam; carbapenem; cephalosporin
OXA-114s,penicillin beta-lactam
tet(X3),glycylcycline; tetracycline antibiotic
mef(C),macrolide antibiotic; tetracycline antibiotic
RAD-1,carbapenem; cephalosporin
CfxA4,cephalosporin
lnuC,lincosamide antibiotic
dfrD,diaminopyrimidine antibiotic
tet(Y),tetracycline antibiotic
TUS-1,carbapenem; cephalosporin; penicillin beta-lactam
lmrB,lincosamide antibiotic; nucleoside antibiotic
QnrD1,fluoroquinolone antibiotic
ErmC,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
ErmA,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
ErmG,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
APH(2'')-IIIa,aminoglycoside antibiotic
ErmT,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
APH(3')-IIIa,aminoglycoside antibiotic
Erm(35),macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
aadA7,aminoglycoside antibiotic
ErmB,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
aad(6),aminoglycoside antibiotic
APH(2'')-IIa,aminoglycoside antibiotic
vgaE,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic
vanR gene in vanG cluster,glycopeptide antibiotic
ANT(4')-Ia,aminoglycoside antibiotic
Erm(33),macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
lsaC,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic
aadA13,aminoglycoside antibiotic
vgaC,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic
