sample,gene,drug_class,gene_family,mechanism,all_mapped_reads,avg_pct_coverage
SRR12619561,aadA8,aminoglycoside antibiotic,ANT(3''),antibiotic inactivation,2.0,24.37
SRR12619561,AAC(6')-Ib7,aminoglycoside antibiotic,AAC(6'),antibiotic inactivation,2.0,17.94
SRR12619561,vgaC,lincosamide antibiotic,vga-type ABC-F protein,antibiotic target protection,14.0,84.0
SRR12619561,vgaC,streptogramin antibiotic,vga-type ABC-F protein,antibiotic target protection,14.0,84.0
SRR12619561,vgaC,streptogramin A antibiotic,vga-type ABC-F protein,antibiotic target protection,14.0,84.0
SRR12619561,vgaC,pleuromutilin antibiotic,vga-type ABC-F protein,antibiotic target protection,14.0,84.0
SRR12619561,tet(33),tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,2.0,24.51
SRR12619561,tet(O),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,20.0,83.02
SRR12619561,tet(T),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,206.0,100.0
SRR12619561,AAC(6')-Im,aminoglycoside antibiotic,AAC(6'),antibiotic inactivation,2.0,55.87
SRR12619561,Erm(47),macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,18.0,100.0
SRR12619561,Erm(47),lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,18.0,100.0
SRR12619561,Erm(47),streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,18.0,100.0
SRR12619561,Erm(47),streptogramin B antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,18.0,100.0
SRR12619561,LnuP,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),antibiotic inactivation,6.0,69.66
SRR12619561,aadS,aminoglycoside antibiotic,ANT(6),antibiotic inactivation,6.0,34.61
SRR12619561,vga(E) Staphylococcus cohnii,lincosamide antibiotic,vga-type ABC-F protein,antibiotic target protection,2.0,13.71
SRR12619561,vga(E) Staphylococcus cohnii,streptogramin antibiotic,vga-type ABC-F protein,antibiotic target protection,2.0,13.71
SRR12619561,vga(E) Staphylococcus cohnii,streptogramin A antibiotic,vga-type ABC-F protein,antibiotic target protection,2.0,13.71
SRR12619561,vga(E) Staphylococcus cohnii,pleuromutilin antibiotic,vga-type ABC-F protein,antibiotic target protection,2.0,13.71
SRR12619561,tet(X4),glycylcycline,tetracycline inactivation enzyme,antibiotic inactivation,2.0,2.94
SRR12619561,tet(X4),tetracycline antibiotic,tetracycline inactivation enzyme,antibiotic inactivation,2.0,2.94
SRR12619561,tet(L),tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,6.0,41.1
SRR12619561,lnuG,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),antibiotic inactivation,24.0,85.7
SRR12619561,cfrC,lincosamide antibiotic,Cfr 23S ribosomal RNA methyltransferase,antibiotic target alteration,4.0,19.23
SRR12619561,cfrC,streptogramin antibiotic,Cfr 23S ribosomal RNA methyltransferase,antibiotic target alteration,4.0,19.23
SRR12619561,cfrC,oxazolidinone antibiotic,Cfr 23S ribosomal RNA methyltransferase,antibiotic target alteration,4.0,19.23
SRR12619561,cfrC,phenicol antibiotic,Cfr 23S ribosomal RNA methyltransferase,antibiotic target alteration,4.0,19.23
SRR12619561,tet(W/N/W),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,14.0,47.71
SRR12619561,qacEdelta1,disinfecting agents and antiseptics,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,3.0,77.01
SRR12619561,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,34.0,86.34
SRR12619561,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,34.0,86.34
SRR12619561,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,34.0,86.34
SRR12619561,Bifidobacterium bifidum ileS conferring resistance to mupirocin,mupirocin-like antibiotic,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),antibiotic target alteration,2.0,2.23
SRR12619561,Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,rifamycin antibiotic,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),antibiotic target alteration; antibiotic target replacement,4.0,9.52
SRR12619561,LnuH,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),antibiotic inactivation,18.0,96.68
SRR12619561,tet(O/M/O),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,18.0,45.47
SRR12619561,tet(O/W),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,6.0,31.35
SRR12619561,tet(O/32/O),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,8.0,19.32
SRR12619561,tet(O/W/32/O),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,7.0,38.91
SRR12619561,tet(O/W/O),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,2.0,14.43
SRR12619561,tet(W/32/O),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,2.0,15.16
SRR12619561,tet(X6),tetracycline antibiotic,tetracycline inactivation enzyme,antibiotic inactivation,5.0,43.8
SRR12619561,ANT(9)-Ib,aminoglycoside antibiotic,ANT(9),antibiotic inactivation,4.0,25.13
SRR12619561,AAC(3)-IVa,aminoglycoside antibiotic,AAC(3),antibiotic inactivation,4.0,47.1
SRR12619561,EstT,macrolide antibiotic,macrolide esterase,antibiotic inactivation,57.0,100.0
SRR12619561,cfrE,lincosamide antibiotic,Cfr 23S ribosomal RNA methyltransferase,antibiotic target alteration,18.0,80.48
SRR12619561,cfrE,streptogramin antibiotic,Cfr 23S ribosomal RNA methyltransferase,antibiotic target alteration,18.0,80.48
SRR12619561,cfrE,oxazolidinone antibiotic,Cfr 23S ribosomal RNA methyltransferase,antibiotic target alteration,18.0,80.48
SRR12619561,cfrE,phenicol antibiotic,Cfr 23S ribosomal RNA methyltransferase,antibiotic target alteration,18.0,80.48
SRR12619561,cfrE,pleuromutilin antibiotic,Cfr 23S ribosomal RNA methyltransferase,antibiotic target alteration,18.0,80.48
SRR12619561,Clostridium sporogenes cplR,lincosamide antibiotic,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,antibiotic target protection,2.0,2.77
SRR12619561,Clostridium sporogenes cplR,antibiotic without defined classification,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,antibiotic target protection,2.0,2.77
SRR12619561,Clostridium sporogenes cplR,pleuromutilin antibiotic,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,antibiotic target protection,2.0,2.77
