sample,gene,drug_class,gene_family,mechanism,all_mapped_reads,avg_pct_coverage
SRR12619551,mexQ,diaminopyrimidine antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,6.8
SRR12619551,mexQ,phenicol antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,6.8
SRR12619551,mexQ,disinfecting agents and antiseptics,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,6.8
SRR12619551,MexW,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,1.21
SRR12619551,MexW,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,1.21
SRR12619551,MexW,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,1.21
SRR12619551,MexW,phenicol antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,1.21
SRR12619551,MexW,disinfecting agents and antiseptics,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,1.21
SRR12619551,MexK,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,6.27
SRR12619551,MexK,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,6.27
SRR12619551,oleC,macrolide antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,antibiotic efflux,6.0,15.24
SRR12619551,oqxB,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.0
SRR12619551,oqxB,glycylcycline,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.0
SRR12619551,oqxB,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.0
SRR12619551,oqxB,diaminopyrimidine antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.0
SRR12619551,oqxB,nitrofuran antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,2.0
SRR12619551,efpA,rifamycin antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,2.0,3.39
SRR12619551,efpA,isoniazid-like antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,2.0,3.39
SRR12619551,lfrA,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,2.0,3.37
SRR12619551,rphB,rifamycin antibiotic,rifampin phosphotransferase,antibiotic inactivation,4.0,10.66
SRR12619551,tetA(58),tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,2.0,3.49
SRR12619551,MuxB,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,14.0,14.72
SRR12619551,MuxB,monobactam,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,14.0,14.72
SRR12619551,MuxB,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,14.0,14.72
SRR12619551,MuxB,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,14.0,14.72
SRR12619551,MexF,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,20.0,16.37
SRR12619551,MexF,diaminopyrimidine antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,20.0,16.37
SRR12619551,MexF,phenicol antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,20.0,16.37
SRR12619551,AxyY,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,4.97
SRR12619551,AxyY,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,4.97
SRR12619551,AxyY,aminoglycoside antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,4.97
